Siglas.de.la.Institución,Institución,n_contratos,total_monto,contratacion_restringida,proveedor_sancionado,ausencia_competencia,plazos_cortos,publicacion_tardia,ihh_institucion,calificacion_irc,calificacion_competencia,calificacion_transparencia,calificacion_anomalias,institucion_merge
AEFCM,Autoridad Educativa Federal en la Ciudad de México,364,3603600669.1399984,84.89,0.0,3904.76,33.1,48.48,3338.41068160221,44.3165745836756,80.56519140537524,24.54984763185641,28.41838345718765,autoridadeducativafederalenlaciudaddemexico
AEM,Agencia Espacial Mexicana,53,18810353.019999996,92.45,0.0,,50.0,86.79,3694.11651828347,83.13840213067797,65.71330929248818,76.57592548090227,58.99704760446601,agenciaespacialmexicana
AGN,Archivo General de la Nación,175,208581015.946396,78.86,0.0,3745.61,12.0,62.29,2458.46965548195,20.847346189185448,49.005964535743544,8.477070886377348,32.127684622472295,archivogeneraldelanacion
AGROASEMEX,"Agroasemex, S.A.",215,93574659.43859898,86.05,0.0,3304.12,0.0,75.35,496.257558191474,24.35320781627031,48.43543435228382,18.91470317657007,40.100469465476785,agroasemexsa
AICM,"Aeropuerto Internacional de la Ciudad de México, S.A. de C.V.",617,8713213670.45081,59.32,0.49,2952.95,29.43,30.96,909.989742326696,17.87413809671589,43.081729570295465,11.238822905831029,36.34143746740838,aeropuertointernacionaldelaciudaddemexicosadecv
APBP,Administración del Patrimonio de la Beneficencia Pública,16,19409570.07,68.75,0.0,2071.43,0.0,56.25,9879.6504531269,22.660346532002087,43.74547207184645,20.518284591212897,15.994515916559385,administraciondelpatrimoniodelabeneficenciapublica
API-Altamira,"Administración Portuaria Integral de Altamira, S.A. de C.V.",530,1122875648.5246491,91.13,0.0,5665.3,21.18,65.97,1781.98410087112,27.937456544306876,45.72493203907838,19.177966698762557,36.0753762645943,administracionportuariaintegraldealtamirasadecv
API-Coatzacoalcos,"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V.",311,998857054.88625,87.46,0.0,3139.08,14.41,61.24,1230.48187489708,40.401159597679744,39.7866225115471,45.63486613411616,36.111190102241984,administracionportuariaintegraldecoatzacoalcossadecv
API-Dos Bocas,"Administración Portuaria Integral de Dos Bocas, S.A. de C.V.",297,335757297.40630007,92.93,0.0,2481.13,3.33,2.02,4543.34183276994,18.241333270740963,48.051443941415414,6.8133531586549525,9.311656556145504,administracionportuariaintegraldedosbocassadecv
API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",147,132246517.08056007,93.88,0.0,4381.58,5.0,79.31,2689.5414282508,54.04444506213913,67.58677152129799,69.52924830180474,42.661863329588115,administracionportuariaintegraldeensenadasadecv
API-Guaymas,"Administración Portuaria Integral de Guaymas, S.A. de C.V.",684,583178136.4799998,95.76,0.0,6761.9,2.04,90.34,1862.60992510834,72.62862778001924,61.05305263056913,66.70244127839422,51.62011214109425,administracionportuariaintegraldeguaymassadecv
API-Lázaro Cárdenas,"Administración Portuaria Integral de Lázaro Cárdenas, S.A. de C.V.",790,2181143345.0545573,86.84,0.0,2696.07,23.62,80.63,1590.62975033336,20.968109266587675,37.12130327640815,14.90756404672205,29.210733065212445,administracionportuariaintegraldelazarocardenassadecv
API-Manzanillo,"Administración Portuaria Integral de Manzanillo, S.A. de C.V.",877,2142567382.5147743,95.1,0.0,3426.29,8.33,66.9,1506.44341435276,31.138488536325504,55.12894881041884,36.52863407785993,34.80381836187685,administracionportuariaintegraldemanzanillosadecv
API-Mazatlán,"Administración Portuaria Integral de Mazatlán, S.A. de C.V.",159,598715382.86,84.28,0.0,4132.54,27.78,62.03,7777.24971798952,41.64104900445509,99.03922211138149,15.095617835882885,41.231299099936045,administracionportuariaintegraldemazatlansadecv
API-Progreso,"Administración Portuaria Integral de Progreso, S.A. de C.V.",448,454852588.0944442,93.08,0.0,4536.01,5.0,75.67,2746.81333821754,35.391338039863705,50.85105826682194,33.03832764154822,20.999339968477397,administracionportuariaintegraldeprogresosadecv
API-Puerto Madero,"Administración Portuaria Integral de Puerto Madero, S.A. de C.V.",79,99720696.99,83.54,0.0,4437.5,25.0,75.95,4932.72608004133,48.76722161326749,66.68223874584932,33.84309122289979,34.27431881233283,administracionportuariaintegraldepuertomaderosadecv
API-Puerto Vallarta,"Administración Portuaria Integral de Puerto Vallarta, S.A. de C.V.",100,61389219.660753,88.0,0.0,3225.6,45.0,79.8,2255.61265245816,42.38471072823694,54.54909841382953,28.885267001914066,65.98685328179582,administracionportuariaintegraldepuertovallartasadecv
API-Salina Cruz,"Administración Portuaria Integral de Salina Cruz, S.A. de C.V.",191,4478250065.045872,90.05,0.0,2867.92,39.29,86.39,9446.87626450239,72.68724619675042,100.0,73.04950830396876,68.49975035674801,administracionportuariaintegraldesalinacruzsadecv
API-Tampico,"Administración Portuaria Integral de Tampico, S.A. de C.V.",83,330262999.8069999,68.67,0.0,4593.2,9.3,1.2,2865.1819412815,22.90059088206393,42.58406860901915,28.525253129165268,11.938416576413129,administracionportuariaintegraldetampicosadecv
API-Topolobampo,"Administración Portuaria Integral de Topolobampo, S.A. de C.V.",119,459613380.11,89.92,0.0,3093.34,0.0,23.53,7119.1539577447,42.22032274677161,54.08783756328255,49.37969475924812,44.309760720967034,administracionportuariaintegraldetopolobamposadecv
API-Tuxpan,"Administración Portuaria Integral de Tuxpan, S.A. de C.V.",202,364654834.4436998,89.11,0.0,3559.1,1.96,47.52,2730.9147804161,36.01326883856432,61.34796330558183,25.763465051961315,18.056544190846513,administracionportuariaintegraldetuxpansadecv
API-Veracruz,"Administración Portuaria Integral de Veracruz, S.A. de C.V.",1549,3993460644.034549,96.32,0.0,6426.89,17.19,76.57,386.431179708548,37.81638810764974,77.21591883746626,7.641736394413535,46.1536370321032,administracionportuariaintegraldeveracruzsadecv
APRENDEMX,Coordinación General @prende.mx,35,453890751.15000015,48.57,0.0,2816.24,0.0,57.14,7176.58312909774,26.865248276735905,73.08911572776653,15.868164767084695,22.195139399117,coordinaciongeneralprendemx
ARTF,Agencia Reguladora del Transporte Ferroviario,60,16743079.740000002,83.33,0.0,3333.33,50.0,71.67,1823.78251179665,67.636969226128,52.044988148731704,72.85789448773295,66.29628252264152,agenciareguladoradeltransporteferroviario
ASA,Aeropuertos y Servicios Auxiliares,2763,2987716559.1150117,67.14,0.04,3537.58,17.59,21.3,309.038029841785,18.680349845531925,32.50477110021879,16.944166954367272,15.634091451162572,aeropuertosyserviciosauxiliares
ASEA,Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos,154,211179658.56237006,77.92,0.0,3939.28,15.22,46.75,2130.01140355645,23.95896065032782,46.28984236409406,16.382652735138272,33.752512613670724,agencianacionaldeseguridadindustrialydeproteccionalmedioambientedelsectorhidrocarburos
ASERCA,Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios,1160,307712676.2099997,97.93,0.0,5448.72,30.0,93.62,892.610768003568,51.70486058615236,57.62111192099716,52.06863145333421,61.05667330902943,agenciadeserviciosalacomercializacionydesarrollodemercadosagropecuarios
BANCODELBIENESTAR,"Banco del Bienestar, S.N.C., I.B.D",286,5772400115.400003,78.32,0.0,3508.6,31.82,76.22,1209.00858029132,26.11609328289804,39.7977714058709,8.979021978511584,55.775762567887035,bancodelbienestarsncibd
BANCOMEXT,"Banco Nacional de Comercio Exterior, S.N.C.",731,1100737597.9847775,96.31,0.0,3288.63,5.88,72.64,2139.19702573714,37.02808189342355,54.646573791900806,33.78461559194003,32.74609900323642,banconacionaldecomercioexteriorsnc
BANJERCITO,"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C.",803,3737789459.817859,75.22,0.0,2708.87,12.4,26.65,1171.67424636064,27.759553607250954,52.00679534011105,17.74377729362189,18.234817141190714,banconacionaldelejercitofuerzaaereayarmadasnc
BANOBRAS,"Banco Nacional de Obras y Servicios Públicos, S.N.C.",764,23802042710.20934,87.17,0.0,3899.9,7.08,58.51,6145.1232115722,28.795352148529947,52.87948521313631,14.035177793141287,22.695827667759566,banconacionaldeobrasyserviciospublicossnc
BANSEFI,"Banco del Ahorro Nacional y Servicios Financieros, S.N.C.",115,750831806.59,79.13,0.0,4058.31,3.45,72.17,955.047945556835,22.23133261625141,48.32470520844177,7.656396626849774,33.933294979675985,bancodelahorronacionalyserviciosfinancierossnc
BIENESTAR,Secretaria de Bienestar,2404,7806175503.447479,96.94,0.0,5261.1,28.16,67.09,1338.84490604916,46.323216725629436,57.78559522376526,28.31483876787485,42.70821601060302,secretariadebienestar
