INSTITUCION,SIGLAS,Sector,IRC-2020,IRC-2019,IRC-2018,Progreso 19-20,Progreso 18-20,Monto-2020,Rango 2020,Monto-2019,Rango-2019,Monto-2018,Rango-2018,Diferencia Monto 18-20,Diferencia % 18-20,Diferencia Monto 19-20,Diferencia % 19-20,Riesgo Anomalías 2020,Riesgo Anomalías 2019,Riesgo Anomalías 2018,Riesgo Competencia 2020,Riesgo Competencia 2019,Riesgo Competencia 2019.1,Riesgo Transparencia 2020,Riesgo Transparencia 2019,Riesgo Transparencia 2018,institucion_merge
Servicio de Administración y Enajenación de Bienes,SAE,HACIENDA Y CRÉDITO PÚBLICO,,,18.90042208209426,,,,,,,2518242517.1899996,Monto alto,,,,,,,20.495994200081626,,,30.443397413712237,,,19.77982806021071,serviciodeadministracionyenajenaciondebienes
"Consejo de Promoción Turística de México, S.A. de C.V.",CPTM,TURISMO,,45.36128967320428,31.813780385657005,,,,,6590676.52,Monto bajo,1984737382.53,Monto alto,,,,,,38.95982796987551,27.691786498769027,,73.40123841641959,56.095421329776244,,20.20456348635412,23.530833218960066,consejodepromocionturisticademexicosadecv
Policía Federal,PF,seguridad,,,40.85967043491222,,,,,,,1266090773.53163,Monto alto,,,,,,,55.00029591921493,,,55.03126423498378,,,27.141365552830283,policiafederal
Procuraduría General de la República,PGR,PGR,,,33.909025777975906,,,,,,,951107317.311948,Monto medio,,,,,,,26.345552304366336,,,32.596299604449264,,,43.187765291656824,procuraduriageneraldelarepublica
"Banco del Ahorro Nacional y Servicios Financieros, S.N.C.",BANSEFI,HACIENDA Y CRÉDITO PÚBLICO,,,22.23133261625141,,,,,,,750831806.5899999,Monto medio,,,,,,,33.933294979675985,,,48.32470520844177,,,7.656396626849774,bancodelahorronacionalyserviciosfinancierossnc
Coordinación General @prende.mx,APRENDEMX,EDUCACIÓN PÚBLICA,,10.959662202217578,26.865248276735905,,,,,3341198.72,Monto bajo,450549552.43,Monto bajo,,,,,,22.195139399117,3.1324241075116235,,19.125593549407515,73.08911572776653,,8.516888798444958,15.868164767084695,coordinaciongeneralprendemx
"FONATUR Mantenimiento Turístico, S.A. de C.V.",FONATUR Mantenimiento,TURISMO,,,44.82761282063632,,,,,,,425327147.56096697,Monto bajo,,,,,,,37.18905788260562,,,48.72242022484049,,,47.530487245313786,fonaturmantenimientoturisticosadecv
Instituto Nacional del Emprendedor,INADEM,ECONOMÍA,,20.62467019533025,31.88739568314115,,,,,10098252.66,Monto bajo,225446149.0,Monto bajo,,,,,,23.235727668014324,19.18275495229139,,52.61914845060227,46.86010656467226,,3.6672409376254276,33.901559268559986,institutonacionaldelemprendedor
ProMéxico,PROMEXICO,TURISMO,,15.460601925470005,18.232551161461824,,,,,43184869.45,Monto bajo,134638509.89999998,Monto bajo,,,,,,0.0,10.183376060958702,,32.12392526167617,21.991255590541634,,22.003445625752565,29.18759798791561,promexico
Autoridad Federal para el Desarrollo de las Zonas Económicas Especiales,ZEE,HACIENDA Y CRÉDITO PÚBLICO,,20.4581299104257,29.636940033839466,,,,,40493242.02,Monto bajo,112923001.2819,Monto bajo,,,,,,26.424624182119743,32.17022812874627,,53.14498349017135,55.67794347286392,,1.1037055178220159,17.5121324682383,autoridadfederalparaeldesarrollodelaszonaseconomicasespeciales
Centro de Investigación y Seguridad Nacional,CISEN,seguridad,,,42.57171353189253,,,,,,,110139353.551486,Monto bajo,,,,,,,20.82655477537708,,,34.78644500247216,,,60.58349072114822,centrodeinvestigacionyseguridadnacional
Instituto Nacional para la Evaluación de la Educación,INEE,EDUCACIÓN PÚBLICA,,,22.796558944405017,,,,,,,77497975.30000001,Monto bajo,,,,,,,22.699730052222982,,,37.66016971663429,,,21.231060962014283,institutonacionalparalaevaluaciondelaeducacion
Comisión Federal de Electricidad,CFE,CFE,,,79.83525719548051,,,,,,,63418569.79,Monto bajo,,,,,,,18.316270748867908,,,82.61836253729581,,,100.0,comisionfederaldeelectricidad
Comisión Nacional de Protección Social en Salud,CNPSS,SALUD,,,56.91968368172435,,,,,,,8393745.6,Monto bajo,,,,,,,19.986142027881,,,65.18843978707524,,,67.99392003867429,comisionnacionaldeproteccionsocialensalud
Comité Nacional Mixto de Protección al Salario,CONAMPROS,TRABAJO Y PREVISIÓN SOCIAL,,,77.70750480487317,,,,,,,1996553.54,Monto bajo,,,,,,,62.20492005920578,,,56.96003750145399,,,90.38375176251554,comitenacionalmixtodeproteccionalsalario
Instituto de Salud para el Bienestar,INSABI,SALUD,47.88935537285697,71.90432717157628,,-24.014971798719316,,16695358920.410002,Monto muy alto,2115266850.77,Monto alto,,,,,14580092069.640001,6.892790885619255,37.38731544355587,56.55095725391338,,34.79684514149235,20.29061313970044,,33.45125177988159,80.64838052764868,,institutodesaludparaelbienestar
Centro Nacional para la Salud de la Infancia y la Adolescencia,CENSIA,SALUD,48.771146080106604,68.49798488170732,,-19.72683880160072,,10236371433.9438,Monto muy alto,2229459831.7,Monto alto,,,,,8006911602.2438,3.5914132600175166,43.93652269148632,100.0,,52.16108591141473,100.0,,23.602624143887468,2.447538483545292,,centronacionalparalasaluddelainfanciaylaadolescencia
Guardia Nacional,GN,seguridad,27.73346530288198,34.518239308968276,,-6.784774006086295,,7191165365.01773,Monto muy alto,2279582369.16077,Monto alto,,,,,4911582995.85696,2.1545977290854217,46.4301574142036,34.468177510032106,,30.98586985265714,82.32448607101186,,11.63230683020466,1.1276811308739938,,guardianacional
Seguridad Alimentaria Mexicana,SEGALMEX,AGRICULTURA Y DESARROLLO RURAL,34.05963099191672,41.473998811731924,,-7.4143678198152045,,4716729988.85,Monto muy alto,4127969082.87,Monto muy alto,,,,,588760905.9800005,0.14262725668736362,44.69759364232466,23.618908226497542,,47.723624294237005,73.4767476330505,,10.19148724523087,23.784465613337673,,seguridadalimentariamexicana
Fiscalía General de la República,FGR,Fiscalía General de la República,26.669039478156222,35.906401732082145,,-9.237362253925923,,4415400076.02816,Monto muy alto,1668209905.04478,Monto alto,,,,,2747190170.9833803,1.6467892695491682,15.557453125653483,15.26990500841588,,35.7474317607539,38.71335497347956,,16.8713026617106,40.30154645845647,,fiscaliageneraldelarepublica
"Banco del Bienestar, S.N.C., I.B.D",BANCODELBIENESTAR,HACIENDA Y CRÉDITO PÚBLICO,26.11609328289804,18.72810145277047,,7.387991830127568,,3577816251.9799995,Monto muy alto,2194583863.42,Monto alto,,,,,1383232388.5599995,0.6302937024262973,55.775762567887035,28.88692254557206,,27.649304630106442,39.7977714058709,,8.979021978511584,4.513612400376086,,bancodelbienestarsncibd
Instituto para Devolver al Pueblo lo Robado,INDEP,HACIENDA Y CRÉDITO PÚBLICO,39.3060370919695,20.86252293784129,,18.44351415412821,,1659394768.96773,Monto alto,2118105018.03,Monto alto,,,,,-458710249.0622699,-0.21656633885363513,36.722416751126666,18.33081641953606,,69.45372454499689,39.98052946846887,,6.833485443873155,14.351078209381901,,institutoparadevolveralpueblolorobado
Secretaría de Seguridad y Protección Ciudadana,SSPC,seguridad,34.22561426899991,45.27933872591596,,-11.05372445691605,,353689312.13,Monto bajo,7810258.51,Monto bajo,,,,,345879053.62,44.28522476908386,29.505809028913593,26.218882192714926,,50.208522329342266,68.63244066610025,,13.422077957367492,30.81597305626528,,secretariadeseguridadyproteccionciudadana
"FONATUR Infraestructura, S.A. de C.V.",FONATUR Infraestructura,TURISMO,45.05708597094315,44.15274832588443,,0.9043376450587175,,349083825.758,Monto bajo,367798502.01009995,Monto bajo,,,,,-18714676.25209993,-0.05088295941886684,43.89734291157174,37.7651570064497,,50.74571248641922,58.26920849908008,,20.434202699385466,27.74243334476958,,fonaturinfraestructurasadecv
Universidad Abierta y a Distancia de México,UNADM,EDUCACIÓN PÚBLICA,55.11922141337525,43.99720722092648,,11.122014192448773,,119215017.35,Monto bajo,31137371.0,Monto bajo,,,,,88077646.35,2.828679606573079,46.85992861671443,33.7858887352865,,47.43635420051276,50.879589161158655,,31.868994868227496,34.23150795751964,,universidadabiertayadistanciademexico
Centro Nacional de Inteligencia,CNI,seguridad,26.079458952036738,19.463872595594296,,6.615586356442442,,106251696.037204,Monto bajo,146518518.844406,Monto bajo,,,,,-40266822.80720201,-0.27482411864921313,39.81662357582522,17.79567025291609,,45.936574679844824,50.67061701813312,,4.107769748833544,6.404164501480385,,centronacionaldeinteligencia
Comisión Nacional para la Mejora Continua de la Educación,MEJOREDU,EDUCACIÓN PÚBLICA,20.617751740444696,18.32713341514642,,2.2906183252982757,,10893005.01,Monto bajo,19590028.065,Monto bajo,,,,,-8697023.055000002,-0.44395153626851125,22.881066277812792,26.197486920136843,,34.78374831882163,26.779832918331298,,8.91426075131674,13.032289093257852,,comisionnacionalparalamejoracontinuadelaeducacion
Corredor Interoceánico del Istmo de Tehuantepec,CIIT,Entidades no sectorizadas,37.70943040589954,,,,,8075306.67,Monto bajo,,,,,,,,,33.60606708697522,,,50.76880666507086,,,15.629332672968173,,,corredorinteroceanicodelistmodetehuantepec
ENTIDADES NO SECTORIZADAS,ENTNOSEC,Entidades no sectorizadas,54.43249420988917,,,,,1322186.83,Monto bajo,,,,,,,,,0.0,,,69.46301395086016,,,33.2048969296348,,,entidadesnosectorizadas
Comisión de Apelación y Arbitraje del Deporte,CAAD,EDUCACIÓN PÚBLICA,36.96656662915282,,,,,90300.0,Monto bajo,,,,,,,,,70.28989292507165,,,10.879803818567085,,,24.855509045839153,,,comisiondeapelacionyarbitrajedeldeporte
Unidad del Sistema para la Carrera de las Maestras y los Maestros,USCMM,EDUCACIÓN PÚBLICA,36.966353080257306,63.34495856879021,,-26.378605488532905,,77586.21,Monto bajo,495950277.69,Monto bajo,,,,,-495872691.48,-0.9998435605069901,70.28989292507165,38.8751397591727,,10.879366107335843,97.48101120345731,,24.855509045839153,34.33358948491315,,unidaddelsistemaparalacarreradelasmaestrasylosmaestros
Consejo Nacional para el Desarrollo y la Inclusión de las Personas con Discapacidad,CONADIS,BIENESTAR,99.93974551324214,81.44721196957192,51.954397206204106,18.49253354367022,47.98534830703804,960580.85,Monto bajo,2074617.1,Monto bajo,24576469.6,Monto bajo,-23615888.75,-0.9609146119994386,-1114036.25,-0.5369840294866942,0.0,5.172383772950494,29.80487115046983,32.54899147024622,72.39156448944229,59.94455163317256,100.0,97.91544869332675,57.224079696215234,consejonacionalparaeldesarrolloylainclusiondelaspersonascondiscapacidad
Centro Nacional de Programas Preventivos y Control de Enfermedades,CENAPRECE,SALUD,91.49889982467471,52.24760596513385,45.18248843929573,39.25129385954086,46.31641138537898,967096715.686095,Monto medio,442376315.7927,Monto bajo,334608348.691344,Monto bajo,632488366.994751,1.890234865532848,524720399.893395,1.1861403541759272,63.992237421683505,25.335140877218944,30.1255254598828,45.331226478324396,80.19339527006804,41.426321062081136,66.32229207149774,35.54922032633479,56.444528239704454,centronacionaldeprogramaspreventivosycontroldeenfermedades
Fideicomiso de Riesgo Compartido,FIRCO,AGRICULTURA Y DESARROLLO RURAL,63.973577404727,33.6309123525518,18.75877230047078,30.3426650521752,45.21480510425622,11290805.16003,Monto bajo,108259684.85639,Monto bajo,39403244.75,Monto bajo,-28112439.58997,-0.7134549392653761,-96968879.69635999,-0.895706280920662,66.01079128230359,20.49793559192721,26.468981349203503,63.54203479644964,55.85062315806573,37.98745010783502,27.45761411976753,23.684349541026613,11.651591261289711,fideicomisoderiesgocompartido
